import time: self [us] | cumulative | imported package
import time:     18562 |      18562 |             pydantic._internal._discriminated_union
import time:    138347 |     138347 |             pydantic._internal._known_annotated_metadata
import time:     11596 |      11596 |             pydantic._internal._schema_gather
import time:      6626 |     299890 |           pydantic._internal._generate_schema
import time:      3571 |       3571 |           pydantic._internal._signature
import time:      5860 |     309320 |         pydantic._internal._model_construction
import time:     21907 |      21907 |         annotated_types
import time:     10153 |      10153 |         pydantic._internal._validators
import time:       250 |        250 |             binascii
import time:      4941 |       5191 |           base64
import time:     47215 |      52406 |         pydantic.types
import time:     16377 |      16377 |             _hashlib
import time:       203 |        203 |             _blake2
import time:      7023 |      23601 |           hashlib
import time:      3831 |      27432 |         toolbox_app.tools.bth_spreader_padeye.paths
import time:      2577 |       2577 |           toolbox_app.core
import time:       823 |       3400 |         toolbox_app.core.meta
import time:      2667 |       2667 |                 importlib._abc
import time:       432 |       3098 |               importlib.util
import time:       286 |        286 |                 zlib
import time:      3131 |       3131 |                   _compression
import time:      2454 |       2454 |                   _bz2
import time:      5568 |      11153 |                 bz2
import time:      2744 |       2744 |                   _lzma
import time:      2543 |       5286 |                 lzma
import time:      3650 |      20374 |               shutil
import time:      2731 |       2731 |                 zipfile._path.glob
import time:      6906 |       9636 |               zipfile._path
import time:      5041 |      38148 |             zipfile
import time:      8027 |       8027 |               _colorize
import time:      4802 |      12828 |             traceback
import time:       134 |        134 |                   _bisect
import time:      2474 |       2607 |                 bisect
import time:        97 |         97 |                 _random
import time:      2807 |       5511 |               random
import time:      4130 |       9640 |             tempfile
import time:      3329 |       3329 |               encodings.cp437
import time:      1350 |       1350 |               shibokensupport
import time:       595 |        595 |               shibokensupport.signature
import time:      1932 |       1932 |                 shibokensupport.feature
import time:      7565 |       7565 |                 shibokensupport.signature.mapping
import time:      4585 |       4585 |                 shibokensupport.signature.errorhandler
import time:       735 |        735 |                       shibokensupport.signature.lib
import time:      3223 |       3957 |                     shibokensupport.signature.lib.tool
import time:     16639 |      20596 |                   shibokensupport.signature.parser
import time:      6366 |      26962 |                 shibokensupport.signature.layout
import time:      7731 |       7731 |                   PySide6.support
import time:      3182 |       3182 |                   PySide6.support.deprecated
import time:       747 |      11659 |                 shibokensupport.signature.importhandler
import time:      5922 |       5922 |                 shibokensupport.signature.lib.enum_sig
import time:      4773 |       4773 |                     gettext
import time:      6684 |      11457 |                   argparse
import time:       140 |        140 |                       _string
import time:      3634 |       3774 |                     string
import time:        87 |         87 |                     atexit
import time:      5327 |       9187 |                   logging
import time:     28903 |      49545 |                 shibokensupport.signature.lib.pyi_generator
import time:      2466 |     110633 |               shibokensupport.signature.loader
import time:     20491 |     136397 |             shiboken6.Shiboken
import time:      5209 |     202221 |           shiboken6
import time:      6589 |     208809 |         PySide6
import time:     43151 |      43151 |         PySide6.QtCore
import time:     15904 |      15904 |           PySide6.QtGui
import time:     17225 |      33129 |         PySide6.QtWidgets
import time:     16161 |      16161 |           PySide6.QtNetwork
import time:      5202 |       5202 |             PySide6.QtPrintSupport
import time:      3804 |       3804 |             PySide6.QtWebChannel
import time:      3669 |      12674 |           PySide6.QtWebEngineCore
import time:     73544 |     102378 |         PySide6.QtWebEngineWidgets
import time:      1803 |       1803 |             email
import time:      4946 |       4946 |             importlib.metadata._meta
import time:      2856 |       2856 |             importlib.metadata._collections
import time:      1898 |       1898 |             importlib.metadata._functools
import time:      1677 |       1677 |             importlib.metadata._itertools
import time:      3136 |       3136 |                   importlib.resources.abc
import time:      2837 |       5973 |                 importlib.resources._common
import time:      3371 |       3371 |                 importlib.resources._functional
import time:      1709 |      11052 |               importlib.resources
import time:      1915 |      12966 |             importlib.abc
import time:      3255 |      29398 |           importlib.metadata
import time:      1812 |      31210 |         pydantic.plugin._loader
import time:    116920 |    1473106 |       toolbox_app.tools.bth_spreader_padeye.tool
import time:      2743 |    1485041 |     toolbox_app.tools.bth_spreader_padeye
import time:      4562 |    1489603 |   toolbox_app.tools.bth_spreader_padeye.backend
import time:      2972 |       2972 |     http
import time:      2154 |       2154 |         urllib
import time:      4025 |       6178 |       urllib.parse
import time:      2094 |       2094 |       email._parseaddr
import time:      3252 |      11524 |     email.utils
import time:      5224 |       5224 |       html.entities
import time:      6582 |      11806 |     html
import time:      2829 |       2829 |           email.errors
import time:      1691 |       1691 |               email.quoprimime
import time:      1981 |       1981 |               email.base64mime
import time:      2242 |       2242 |                   quopri
import time:      2207 |       4449 |                 email.encoders
import time:      4454 |       8903 |               email.charset
import time:      3008 |      15582 |             email.header
import time:      2960 |      18542 |           email._policybase
import time:      5754 |      27124 |         email.feedparser
import time:      3358 |      30481 |       email.parser
import time:      2129 |       2129 |         email._encoded_words
import time:      4118 |       4118 |         email.iterators
import time:      3174 |       9420 |       email.message
import time:      5109 |       5109 |         _ssl
import time:      6627 |      11735 |       ssl
import time:      4739 |      56374 |     http.client
import time:      4786 |       4786 |     mimetypes
import time:      3485 |       3485 |     socketserver
import time:      5450 |      96394 |   http.server
import time:     21659 |      21659 |   toolbox_app.tools.bth_spreader_padeye.models
import time:     10972 |      10972 |   toolbox_app.tools.bth_spreader_padeye.calc_trace
import time:       200 |        200 |       _csv
import time:      3544 |       3744 |     csv
import time:      2447 |       2447 |               numpy.version
import time:      1598 |       1598 |               numpy._expired_attrs_2_0
import time:      2084 |       2084 |                   numpy._utils._convertions
import time:      6370 |       8454 |                 numpy._utils
import time:      3246 |      11699 |               numpy._globals
import time:       439 |        439 |                 numpy._distributor_init_local
import time:      1920 |       2359 |               numpy._distributor_init
import time:      7570 |       7570 |                         numpy.exceptions
import time:      3444 |       3444 |                         numpy._core._exceptions
import time:      2457 |       2457 |                         numpy._core.printoptions
import time:      2374 |       2374 |                         numpy.dtypes
import time:     14991 |      30834 |                       numpy._core._multiarray_umath
import time:      2760 |       2760 |                         numpy._utils._inspect
import time:      3207 |       5967 |                       numpy._core.overrides
