import time: self [us] | cumulative | imported package
import time:      5862 |       5862 |       pydantic.config
import time:      3810 |      16244 |     pydantic._internal._config
import time:      2117 |       2117 |       pydantic._internal._core_utils
import time:      1749 |       1749 |         pydantic._internal._import_utils
import time:      6984 |       8733 |       pydantic._internal._utils
import time:     11651 |      22500 |     pydantic._internal._decorators
import time:       115 |        115 |           _contextvars
import time:      5074 |       5188 |         contextvars
import time:      2668 |       2668 |         pydantic._internal._forward_ref
import time:      5369 |      13225 |       pydantic._internal._generics
import time:      2370 |       2370 |       pydantic._internal._docs_extraction
import time:      2686 |      18280 |     pydantic._internal._fields
import time:      8955 |       8955 |         pydantic.plugin
import time:      3246 |      12200 |       pydantic.plugin._schema_validator
import time:      2266 |      14466 |     pydantic._internal._mock_val_ser
import time:      5855 |       5855 |         fractions
import time:     12907 |      12907 |           _uuid
import time:      4053 |      16960 |         uuid
import time:     16151 |      16151 |             sysconfig
import time:       148 |        148 |             _sysconfig
import time:     16855 |      33153 |           zoneinfo._tzpath
import time:      3383 |       3383 |           zoneinfo._common
import time:      3612 |       3612 |           _zoneinfo
import time:     10797 |      50944 |         zoneinfo
import time:      6127 |       6127 |         pydantic.annotated_handlers
import time:     20102 |      20102 |         pydantic.functional_validators
import time:      3641 |       3641 |           pydantic._internal._core_metadata
import time:     11120 |      11120 |           pydantic._internal._schema_generation_shared
import time:      9817 |      24577 |         pydantic.json_schema
import time:     14061 |      14061 |         pydantic._internal._discriminated_union
import time:     16744 |      16744 |         pydantic._internal._known_annotated_metadata
import time:     14028 |      14028 |         pydantic._internal._schema_gather
import time:     11149 |     180542 |       pydantic._internal._generate_schema
import time:      3927 |       3927 |       pydantic._internal._signature
import time:      2811 |     187279 |     pydantic._internal._model_construction
import time:     42131 |      42131 |     annotated_types
import time:      4849 |       4849 |     pydantic._internal._validators
import time:     30912 |      30912 |     pydantic.types
import time:      4181 |       4181 |             importlib._abc
import time:       714 |       4894 |           importlib.util
import time:     19496 |      19496 |             zipfile._path.glob
import time:     15128 |      34623 |           zipfile._path
import time:     16786 |      56302 |         zipfile
import time:     12462 |      12462 |         importlib.metadata._meta
import time:      4544 |       4544 |         importlib.metadata._collections
import time:     10666 |      10666 |         importlib.metadata._functools
import time:      2955 |       2955 |         importlib.metadata._itertools
import time:       176 |        176 |                     _bisect
import time:      3745 |       3920 |                   bisect
import time:       119 |        119 |                   _random
import time:     10555 |      14593 |                 random
import time:      5307 |      19899 |               tempfile
import time:     12991 |      12991 |               importlib.resources.abc
import time:     13074 |      45963 |             importlib.resources._common
import time:      3262 |       3262 |             importlib.resources._functional
import time:     15847 |      65071 |           importlib.resources
import time:      4382 |      69453 |         importlib.abc
import time:     14586 |     170965 |       importlib.metadata
import time:      3240 |     174205 |     pydantic.plugin._loader
import time:    337419 |    1039227 |   toolbox_app.tools.bth_spreader_padeye.models
import time:     26024 |      26024 |   toolbox_app.tools.bth_spreader_padeye.calc_trace
import time:      3815 |       3815 |       _hashlib
import time:       186 |        186 |       _blake2
import time:      2547 |       6547 |     hashlib
import time:      2610 |       9157 |   toolbox_app.tools.bth_spreader_padeye.paths
import time:       520 |        520 |       _csv
import time:     12870 |      13390 |     csv
import time:      3836 |       3836 |     toolbox_app.tools.bth_spreader_padeye.report_renderer
import time:     12327 |      29552 |   toolbox_app.tools.bth_spreader_padeye.exports
import time:      1456 |       1456 |     toolbox_app.blocks
import time:     26035 |      27491 |   toolbox_app.blocks.aisc_shapes_db
import time:      2457 |       2457 |   toolbox_app.blocks.rigging_db
import time:     10044 |    1714150 | toolbox_app.tools.bth_spreader_padeye.backend.app
